Material,Material Description
800000001687,Hose for Foam Type - 5 mtr
800000001688,6/16 Socket
800000001689,Tarpin
800000001690,"MDF 50 Pair ,Make - Standard"
800000001691,"MDF 20 Pair,Make - Standard"
800000001692,uPVC Pipe 25mm
800000001693,uPVC Tee 20mm
800000001694,uPVC Reducer tee 50x20mm
800000001695,uPVC Reducer tee 25x20mm
800000001696,uPVC Ball Valves 20mm
800000001697,uPVC Union 20mm
800000001698,uPVC Plug 20mm
800000001699,uPVC Reducers 25mm X 20mm
800000001700,Brass TEE 20 x 15mm
800000001701,Brass FTA 20x15mm
800000001702,"P Trap 4"""
800000001703,"Pipe 4"" x 3mtr"
800000001704,"Long Bends 4"""
800000001705,"Short bends 4"""
800000001706,"Door bends 4"""
800000001707,"Door Tee 4"""
800000001708,"1/2 ""piller cock"
800000001709,Push button with Miniature lock
800000001710,Radar
800000001711,Push button with EmergencyButton for HSD
800000001712,Interlocking for HSD to HSD
800000001713,Wheel Guide
800000001714,RO Treatment Plant 250 LPH
800000001715,Corner bend for sheeting
800000001716,Push in connector QST-12-8
800000001717,SH-G-DD-GI-1800x2100mm
800000001718,SH-G-SD-GI-900x2100mm
800000001719,SH-F-UL-2hr-450F-DS-GI-1800x2400mm
800000001720,SH-F-UL-2hr-450F-DS-GI-1800x2100mm
800000001721,SH-F-UL-2hr-450F-SS-GI-900x2100mm
800000001722,Door Coordinator Surface Mounted
800000001723,Panic Surface vertical rod
800000001724,Automatic Door Bottom concealed
800000001725,Concealed Flush Bolt
800000001726,1side key 1side thumbturn cylinder
800000001727,Flush Bolt Rod
800000001728,Foam Tape Black 12.5mm x 4mm thick
800000001729,SS Pull Handle H Type 25mm dia
800000001730,Toughened Glass 5mm thick 300x300mm
800000001731,5 Knuckle SS butt hinge 100x75x3mm
800000001732,Sealing for Frame Black EPDM/PP
800000001733,Sealing for Frame Grey C240
800000001734,Lawrence Door closer std. arm 1-6
800000001735,Door coordinator drop down style
800000001736,External trim key in lever entrance
800000001737,"Panic Fire Exit, Grade 1"
800000001738,5 Knuckle SS butt hinge 114x101x3.4mm
800000001739,Fire rated gasket 4(t)x13mm(w)
800000001740,Ryobi Door closer with std. arm
800000001741,UL Fireated clear glass 5mm(t)x200x300
800000001742,Zero Automatic Door Bottom Surface
800000001743,GI Coupler plate
800000001744,GI M8x20 Nut+ Bolt
800000001745,Combination Plier Make Taparia
800000001746,Wire Stripper
800000001747,Phillips bit
800000001748,10x75 washer
800000001749,8 mm washer
800000001750,10 mm washer
800000001751,10x35 nut + bolt + washer
800000001752,10x75 bolt
800000001753,GI 45 Degree L bend-street light fixture
800000001754,PVC FLOOR MAT(2MM THICKNESS)
800000001755,Walkie Talkie
800000001758,Utensils
800000001759,AC Auto Change Over Switch
800000001760,"Motorised Screen 6X4"""
800000001761,RAL Color 7031 synthetic enamel Paint
800000001762,1x28W Tubelight+ electronic choke & lamp
800000001763,Electronic Regulator
800000001764,"EXHAUST FAN 10"" 220V with Gravity Louver"
800000001765,Ceiling Mount
800000001766,Compressor Room Louvers
800000001767,Spiral Pipe for Air Gun 7.5 metre length
800000001768,PVC Door
800000001769,10 Pair Krone Module
800000001770,Movable Toilet Block (Sintex)
800000001771,"Rework String Tray 7' x 8.25"""
800000001772,EU4 AirFilter for Compressor Room Louver
800000001773,25mm PVC Casing and Capping
800000001774,Danger sign boards 33 kv
800000001775,Danger sign boards 11 kv
800000001776,Danger sign boards 415 volts
800000001777,PTFE Sheet 3mm
800000001778,Hormann Rolling Shutter Decotherm
800000001779,Hormann Manual Rolling Shutter Decotherm
800000001780,Cartridge 85A
800000001781,Cartridge 78A
800000001782,RJ45 Connector
800000001783,"RJ45 Connector,ImpactTool for I/O Fixing"
800000001784,Modular PlugCrimpingTool for RJ45 & RJ11
800000001785,Lan Cable Tester for RJ 45 & RJ 11
800000001786,SH-F-UL-2hr-450F-DS-GI-1800x2500mm
800000001787,SH-F-UL-2hr-450F-SS-GI-900x2500mm
800000001788,Toughened Glass 5mm thick 450x750mm
800000001789,UL Fireated clear glass 5mm(t)x250x250
800000001790,SH-F-UL-2hr-450F-DS-GI-1750x2500mm
800000001791,Air Shower (DIMENSION: 3200X3000X2300MM)
800000001792,Jointing Kit (Raychem 33 kV)
800000001793,Cable Tie - 150 mm
800000001794,Cable Tie - 300 mm
800000001795,Backsheet and EVA Trolley
800000001796,Copper pipe line for AC
800000001797,Water pipe line for AC
800000001798,Iron Angle for AC
800000001799,"GI Clamp 1/2"""
800000001800,"GI Clamp 1"""
800000001801,"GI Clamp 1.25"""
800000001802,"GI Clamp 1.5"""
800000001803,"GI Clamp 2"""
800000001804,"GI Clamp 2.5"""
800000001805,Indian OT Pan
800000001806,Steel Sink
800000001807,"PVC Bush 2"" x 1"""
800000001808,Threaded Plug 20 mm
800000001809,BRASS ELBOW 20MM DIA
800000001810,"PVC flange 2.5"""
800000001811,"Concealed stop cock 1/2"""
800000001812,"LC-LC SM,Patch Cord 10Mtrs.(For Fab-II)"
800000001813,"LC-LC MM,Patch Cord 10Mtrs. OM3 (Fab-II)"
800000001814,22 Gauge GI Sheet
800000001815,Rachet toolbox
800000001816,pipe wrench
800000001817,Monkey plier
800000001818,Ball point allenkey
800000001819,Ball point allenkey long
800000001820,Combination plier
800000001821,Nose plier
800000001822,Wire stripper +Cutter
800000001823,Spirit level
800000001824,Hole punch
800000001825,Chisels & Punch set
800000001826,Tri square
800000001827,Jewellary file
800000001828,Flat file smooth with handle
800000001829,Flat smooth with handle
800000001830,Half round file
800000001831,Round file
800000001832,Drill bit
800000001833,Crimping tool
800000001834,"Crimping tool,Chakra"
800000001835,Vise grip plier
800000001836,Adjustable slide wrench
800000001837,Ring Spanner
800000001838,Open end spanner
800000001839,Bearing puller external
800000001840,Hammer drill bit
800000001841,Screw Driver
800000001842,Screw Driver Set
800000001843,Precision screw driver set
800000001844,Torx Screw driver set
800000001845,Torx ratchet set
800000001846,Long length star screw driver
800000001847,Reversible ratchet Spanner
800000001848,Line Tester
800000001849,Megger
800000001850,Digital Clamp meter
800000001851,Digital Multimeter
800000001852,Digital multimeter+capacitor test option
800000001853,IC Puller
800000001854,Hot air soldering station
800000001855,Desoldering pump
800000001856,Circlip opener inner
800000001857,Digital Vernier Caliper
800000001858,Souldering iron pointed
800000001859,Grinding Machine
800000001860,Pillar Drill machine
800000001861,Thread gauge
800000001862,Power drill machine
800000001863,Hot air gun
800000001864,Full set tool box
800000001865,Cable tie cutter
800000001866,Thread Coil Repair kit
800000001867,Oil can
800000001868,Portable ARC welding machine
800000001869,Grease gun
800000001870,magnetic pick up tool
800000001871,Hacksaw frame
800000001872,Hammer
800000001873,Adjustable tap handle
800000001874,Die handle
800000001875,Dock Leveller
800000001876,Shower with run
800000001877,CP Tell pieces
800000001878,"CP Cap 1/2"""
800000001879,"Gratings 5"""
800000001880,"Gratings 4"""
800000001881,"Brush Screw 3"""
800000001882,"Screw 3"""
800000001883,Commode Sheet
800000001884,Fast Nut 10 mm
800000001885,"Self Threaded Screw 1"""
800000001886,End Cap 15 mm
800000001888,SH-G-SD-LB-GI-900x2100mm
800000001889,SH-G-SD-GI-1000x2100mm
800000001890,Angle Grinder
800000001891,END CAP 20 MM
800000001892,Steel Rack
800000001893,Conference Table
800000001894,Gel Test Table
800000001895,ID11 Fingerprint Terminal(S1)-2Templates
800000001896,Exit Switch (Steel Plated)
800000001897,Adhesion Test Table
800000001898,Table for In-charge
800000001899,Reception Table
800000001900,Conference Chairs
800000001901,8 Core Shielded Cable 0.75mm
800000001902,2 Core Power Cable 0.7mm
800000001903,ISA 50x50 mm
800000001904,ISMC 70x40 mm
800000001905,ISMC 350x100x8mm
800000001906,Floor mounted SS hand railing
800000001907,Wall mounted SS hand railing
800000001908,ISMC 75x40
800000001909,Aluminium Ladder
800000001910,Podium Table
800000001911,Auto Flush Urinals
800000001912,Towel Rail - 2ft length
800000001913,Toilet roll fittings
800000001914,Soap Case Holder
800000001915,Sewage Ejector Pump
800000001916,MS Grill
800000001917,Machine Sand
800000001918,HP DL360 Gen9 Server
800000001919,Windows Server 2012 SNGL OLPNL 2Proc.Lic
800000001920,Chryso Armourcrete
800000001921,Bituthene P Primer
800000001922,Chryso Elastothene
800000001923,Air Circulators
800000001924,Silent Exhaust Fans
800000001925,3 Module Plastic Enclosure
800000001926,6 Module Plastic Enclosure
800000001927,Smart Card Reader
800000001928,Hand Blower Bosch GBL 800E
800000001929,Masonry Drill Bits - 16 mm
800000001930,Screw Driver Minus - 824
800000001931,Screw Driver Minus - 829
800000001932,Screw Driver Minus - 929
800000001933,Screw Driver Set - PYE 595
800000001934,Ring Spanner Set 6mm-32mm
800000001935,Double end spanner 6mm-32mm
800000001936,Box Spanner Set 10mm-32mm Taparia
800000001937,Multimeter Meco make Model No: 9A09
800000001938,Multimeter Motwane M21C Digital+Magnet
800000001939,Digital Meggar 5KV Meco Model DIT 954
800000001940,Digital Clamp Meter Meco Model 3600AC-DC
800000001941,Hand Meggar 500V-200Mega ohm Wago WI 503
800000001942,"6"" Smooth File with rubber handle"
800000001943,Allen Key Set Inches
800000001944,Taparia Make Adjustable Spanner 8 inches
800000001945,Sliding Gate
800000001946,Equal Tee
800000001947,Sliding Gate Operator
800000001948,"Limit Switch One NO, One NC"
800000001949,100 Amps 4 pole MCB type Isolator
800000001950,Control Panel
800000001951,UPVC PLUG 40 MM
800000001952,PVC TEE 80 MM DIA
800000001953,UPVC PIPE 160 MM
800000001954,PVC TEE 160 MM DIA
800000001955,White Putty
800000001956,CABLE -1.5 SQMM X 2 CORE CU
800000001957,25mm thick Open cell armasound
800000001958,150mm did flexible insulated duct
800000001959,250mm did flexible insulated duct
800000001960,Aluminium Grill
800000001961,PCC Grade M10 Jhama Khoa
800000001962,Bricks for BFS
800000001963,Plastic Sheet
800000001964,Admixture
800000001965,Presettable Timer
800000001966,Silver Sand for filling
800000001967,MS PLATE 32 MM
800000001968,ZWCAD Software
800000001969,MS Project 2016
800000001970,PVC REDUCER TEE 32X25MM DIA
800000001971,PVC REDUCER SOCKET 25x15 MM DIA
800000001972,PVC Short Piece
800000001973,Solvent
800000001974,3 phase 2.2.kw pump
800000001975,Pvc elbow 65x40 mm dia
800000001976,Push Tap
800000001977,"1/2"" FTA"
800000001978,CI man hole cover
800000001979,900 mm OD RCPC
800000001980,25 mm G.I. Saddle Hook
800000001981,"6"" length  Nipple size 12 mm"
800000001982,1/2 INCH PVC Tap
800000001983,Pump Single Phase
800000001984,Pump Three Phase
800000001985,13mm thick plan sheet
800000001986,Chiller Terminal Box
800000001987,10 micron filter with mounting frame
800000001988,45x45 mm PVC Duct white colour
800000001989,3.6TR-Chilled watertype cassette unit AC
800000001990,2.0TR-Chilled watertype cassette unit AC
800000001991,InlineFan Cap.3500CFM@static pres.25mmwc
800000001992,InlineFan Cap.1500CFM@static pres.20mmwc
800000001993,InlineFan Cap.2500CFM@static pres.25mmwc
800000001994,Pipe 65NB insulated with nitrile sheet
800000001995,Pipe 50NB insulated with nitrile sheet
800000001996,Pipe 25NB insulated with nitrile sheet
800000001997,PVC drain 50NB insul. with nitrile sheet
800000001998,PVC drain 40NB insul. with nitrile sheet
800000001999,PVC drain 32NB insul. with nitrile sheet
800000002000,PVC drain 25NB insul. with nitrile sheet
800000002001,GSS Rectangular Duct -24 SWG
800000002002,GSS Round Duct - 24 SWG
800000002003,GSS Hood- 1350x1000x600
800000002004,GSS Hood - 1200x1200x600
800000002005,Round VCD 250mm dia
800000002006,13mm thick nitrile
800000002007,Concealed cistern with actuator jaquar
800000002008,24x18 Mirror
800000002009,Cable-3.5CX300Sqmm CU XLPE(1.1KV)Armour.
800000002010,"Cable - 3CX300Sq mm CU XLPE CABLE,33 KV"
800000002011,Cable-3CX300 CU XLPE 11KV Armour.(Earth)
800000002012,Cable-3.5CX185Sqmm CU XLPE(1.1KV)Armour.
800000002013,Cable-3.5CX120Sqmm CU XLPE(1.1KV)Armour.
800000002014,Cable - 185Sqmm 1 core copper flexible
800000002015,Cable - 3.5C X 35Sq mm CU XLPE  (1.1KV)
800000002016,Cable - 3C X 400Sq mm CU XLPE (33KV)
800000002017,Cable-3.5CX150SqmmCU XLPE(1.1KV)Armoured
800000002018,Aluminium Rolled Product
800000002019,STAINLESS STEEL RACK-SS316 GRADE  
800000002020,wbm 100mm
800000002021,4” UPVC Elbow
800000002022,4” MAT  
800000002023,4” Socket  
800000002024,E-40 Porcelain holder
800000002025,Wire 3 coreX2.5 mm2 PVC Copper flexible
800000002026,Wire 3 core X 4 mm2 PVC Copper flexible
800000002027,Elec.distr.Box-(63Amps 4Pole MCB+Mtl.Bx.
800000002028,"Stringer TT2100, IR-light, 4 busbars"
800000002029,"Tooling set for 3bb cell type, 156 x 156"
800000002030,"Prep.of Stringer,5bb cell type,156X156mm"
800000002031,"Tooling set for 5bb cell type, 156x156mm"
800000002032,Layup System
800000002033,String buffer system for Layup
800000002034,150sq.mm Al. flat socket
800000002035,13 mm PVC flexible pipe
800000002036,75x10mm anchor fastner
800000002037,3mm steel rope
800000002038,25mm x 2 mm Al. flat
800000002039,100x10mm anchor fastner
800000002040,"7""x5"" bacalite cover"
800000002041,13 mm PVC flexible pipe
800000002042,"3/4"" PVC flexible pipe"
800000002043,12 way 15A connector
800000002044,16SWG 20mm width Al flat
800000002045,PVC Partition
800000002046,40mm MTA
800000002047,40mm sideal
800000002048,25mm tee
800000002049,160mm astral SWR 10mm S/S
800000002050,Reducer Bush 40x32mm
800000002051,Full Body Harness
800000002052,PCC  M-10 mixed with Jhama brick bats
800000002053,ScreedConcrete Avg40-50mm thick+M25Grd
800000002055,"MR Freight Elevator,2500KG,SS304 HF Car"
800000002056,"1.6 MVA, 11/0.433KV Outdoor Distribution"
800000002057,Aluminium Single Doors
800000002058,Aluminium Fixed Doors
800000002059,West Side Louvers Window
800000002060,Tensile Structure Shed
800000002061,CHILLER PLANT MANAGER (CPM)
800000002062,Coalescing Filter model: UD 310+
800000002063,Refrigerant R-134a for Chiller
800000002064,"MB Laminator, JT4222 XLCP"
800000002065,MB MIS LEL 8 LED
800000002066,Aluminium Partition
800000002067,Safety Posters
800000002068,Lock Pack
800000002069,Bottom Profile
800000002070,Kerosene water pump 4 HP
800000002071,"3""x2"" GI reducer threaded heavy"
800000002072,"2""x8"" GI Short piece"
800000002073,Kirloskar Self Priming Pump
800000002074,Plywood
800000002075,IP IR Bullet
800000002076,32 Channel NVR
800000002077,"32"" LED Full HD TV"
800000002078,40 inch LED TV
800000002079,3 TB Surveillance HDD
800000002080,9U Rack
800000002081,Intel NUC Core 13
800000002082,UTP Cable
800000002083,Power STP Cable
800000002084,GSS Round Duct - 22 SWG
800000002085,GSS Round Duct – 20 SWG
800000002086,GSS Rectangular Duct -22 SWG
800000002087,GSS Rectangular Duct -20 SWG
800000002088,PVC Door Mat
800000002089,Shear Board Partition
800000002090,Clear Glass
800000002091,Floor mounted SS hand railing
800000002092,2M GI Box with Cover Plate
800000002093,3M GI Box with Cover Plate
800000002094,6M GI Box with Cover Plate
800000002095,2x18 Watts LED Light Fixures
800000002096,Field Devices and Sensors for CPM
800000002097,SS 316 nut and bolts 12mmx50mm
800000002098,Washers 12 mm
800000002099,Neoprene  gasket 36”x72”x1/2”
800000002100,1 HP Self Priming Pump
800000002101,Water Level Controller Model No: WLCD1
800000002102,Truck (Ashok Leyland) 32’
800000002103,Wall Primer water based
800000002104,80 micron sand paper
800000002105,100 micron sand paper
800000002106,"4"" Flat Brush"
800000002107,Roller
800000002108,Enamel paint (MS Structure)
800000002109,Sand paper(Ms Structure)
800000002110,Old Cloth
800000002111,Rexin 3 seater Sofa
800000002112,Rexin Dining Chair
800000002113,DAIKIN Split AC System 1.8 TR Cap. R32
800000002114,Refrigerant Copper Pipes
800000002115,"Hard PVC Drain Pipe 3/4"""
800000002116,MS Structure for Outdoor Unit
800000002117,5 amp plug
800000002118,Elect.KWH mtr-3phase4wire415V 1Amp 50Hz
800000002119,200/1 amps core
800000002120,160/1 amps core
800000002121,150/1 amps core
800000002122,40/1 amps core
800000002123,2.5 sq.mm Elmex Connectors
800000002124,Glass Fuse based connectors Elmex
800000002125,2 amps glass fuse 25mm length
800000002126,"DN 50 mm 2"""
800000002127,"DN 50 mm 2"" Strainers"
800000002128,DN  50 mm with M. S. nult bolts
800000002129,25 mm X 4 way PVC Deep Box
800000002130,PCC Panel
800000002131,650 kVAr APFC PANELwithTHYRISTOR CONTROL
800000002132,SMALL POWER DB - 1
800000002133,SMALL POWER DB - 2
800000002134,MCCB'S WITH ENCLOSURE BOXES
800000002135,UPS PANEL - 4
800000002136,UPS PANEL - 5
800000002137,UPS PANEL - 6
800000002138,LIGHTING DB
800000002139,EMERGENCY LIGHTING DISTRIBUTION BOARD-1
800000002140,EMERGENCY LIGHTING DISTRIBUTION BOARD-2
800000002141,EMERGENCY LIGHTING DISTRIBUTION BOARD-3
800000002142,EMERGENCY LIGHTING DISTRIBUTION BOARD-4
800000002143,EMERGENCY LIGHTING DISTRIBUTION BOARD-5
800000002144,EMERGENCY LIGHTING DISTRIBUTION BOARD-6
800000002145,LIGHT DISTRIBUTION BOARD - 1
800000002146,LIGHT DISTRIBUTION BOARD - 2
800000002147,LIGHT DISTRIBUTION BOARD  - 3
800000002148,LIGHT DISTRIBUTION BOARD  - 4
800000002149,LIGHT DISTRIBUTION BOARD  - 5
800000002150,LIGHT DISTRIBUTION BOARD  - 6
800000002151,POWER DISTRIBUTION BOARD
800000002152,UPS POWER DB
800000002153,SN-MW700 Microwave Lighting sensor
800000002154,"1 1/2"" PVC Pipe"
800000002155,"1/2"" PVC Pipe"
800000002156,Ring pipe & Clamp
800000002157,"1/2"" Socket"
800000002158,"1"" Foot Valve"
800000002159,"1"" Roll Pipe"
800000002160,"1"" Nozal"
800000002161,"1"" section pipe"
800000002162,"3/2"" Reducer Socket G.I"
800000002163,"1"" Tolu Bend"
800000002164,"1 1/2 "" Jubilee Clamp"
800000002165,"1"" Jubilee clamp"
800000002166,"3"" x 2 1/2"" reducer socket G.I"
800000002167,Cable - 19C x 1.5 Sqmm Cu XLPE 2XFY
800000002168,Coconut rope
800000002169,10 lt water primer
800000002170,"4"" Double case bush"
800000002171,120 grade water paper
800000002172,"1/4 x 2 1/2"" Nut Bolt"
800000002173,10Ltrs Plastic Paint
800000002174,4 x 4 White Paint
800000002175,"4"" 222 Bush"
800000002176,5 Lt Jar PVC
800000002177,4Lt Plastic Paints
800000002178,Jute Fibre (Sutuli)
800000002179,Paints Oil
800000002180,Ball Valves(Insulated) 15 mm dia
800000002181,Condenser Pipping 80 mm 
800000002182,Aluminium curved grill
800000002183,Butterfly Damper 400 mm dia
800000002184,Al powder coated jet nozzles 400mm dia
800000002185,Fl.duct25mmthickfibre 400mm dia
800000002186,Al. non vision air transfer door grill
800000002187,G.I. perforated cable tray 300 x 50 mm
800000002188,G.I. perforated cable tray 100 x 50 mm
800000002189,Al.Airdiffusers 388mmdia necksize300mm
800000002190,Al. Airdiffusers600x600mmnecksize450x450
800000002191,Al.powdercoated 600x600mmnecksize450x450
800000002192,Fan Coil Unit 1.0 TR - 400 CFM
800000002193,Fan Coil Unit 1.5 TR - 600 CFM
800000002194,Chilled Water Cassette 1.5TR - 600 CFM
800000002195,Chilled Water Cassette 2.5TR - 1000 CFM
800000002196,Chilled Water Cassette 3TR - 1200 CFM
800000002197,Chilled Water Cassette 4TR - 1600 CFM
800000002198,AHU 47TR 13500 CFM
800000002199,AHU 14TR 6200 CFM
800000002200,AHU 15TR 8000 CFM
800000002201,Cabinet type plug fan 36500 CFM@30 mm WG
800000002202,Cabinet type plug fan 11200 CFM@25 mm WG
800000002203,Cabinet Type DIDW Fans 700CFM@15mm WG
800000002204,Cabinet Type DIDW Fans 160CFM@25mm WG
800000002205,Cabinet Type DIDW Fans 1000CFM@35mm WG
800000002206,Cabinet Type DIDW Fans 5500CFM@15mm WG
800000002207,Cabinet Type DIDW Fans 1600CFM@15mm WG
800000002208,Cabinet Type DIDW Fans 1250CFM@35mm WG
800000002209,Cabinet Type DIDW Fans 4300CFM@15mm WG
800000002210,Cabinet Type DIDW Fans 1200CFM@15mm WG
800000002211,Cabinet Type DIDW Fans 3500CFM@25mm WG
800000002212,Cabinet Type DIDW Fans 2500CFM@25mm WG
800000002213,Axial Fans 18250CFM 20 mmWG
800000002214,Axial Fans 18250CFM 25 mmWG
800000002215,Axial Fans 32000CFM 15 mmWG
800000002216,Axial Fans 11200CFM 15 mmWG
800000002217,500 CFM Exhaust Air Fan
800000002218,IntrnlChilldWaterPipe300mm 38mm insulatn
800000002219,IntrnlChilldWaterPipe250mm 38mm insulatn
800000002220,IntrnlChilldWaterPipe200mm 38mm insulatn
800000002221,IntrnlChilldWaterPipe150mm 38mm insulatn
800000002222,IntrnlChilldWaterPipe125mm 38mm insulatn
800000002223,IntrnlChilldWaterPipe100mm 38mm insulatn
800000002224,IntrnlChilldWaterPipe80mm 32mm insulatn
800000002225,IntrnlChilldWaterPipe65mm 32mm insulatn
800000002226,IntrnlChilldWaterPipe50mm 32mm insulatn
800000002227,IntrnlChilldWaterPipe40mm 32mm insulatn
800000002228,IntrnlChilldWaterPipe32mm 32mm insulatn
800000002229,IntrnlChilldWaterPipe25mm 25mm insulatn
800000002230,IntrnlChilldWaterPipe20mm 25mm insulatn
800000002231,250A FP MCCB 50KA with Enclosure
800000002232,GI Strips of 75 X 10 mm
800000002233,Butterfly Valves (Insulated) :100 mm Dia
800000002234,Flow Switch
800000002235,Chilled Water Cassette 3.5TR - 1400 CFM
800000002236,Ball valve with & without Strainer-20NB
800000002237,Ball valve with & without Strainer-25NB
800000002238,U-PVC pipe13mmThickNitrileInsul:80mm dia
800000002239,U-PVCpipe13mmThickNitrileInsul:100mm dia
800000002240,U-PVCpipe13mmThickNitrileInsul:65mm dia
800000002241,U-PVCpipe13mmThickNitrileInsul:50mm dia
800000002242,U-PVCpipe13mmThickNitrileInsul:40mm dia
800000002243,U-PVCpipe13mmThickNitrileInsul:32mm dia
800000002244,U-PVCpipe13mmThickNitrileInsul:25mm dia
800000002245,Gear Box Casing
800000002246,Sliding Gate Repairing
800000002247,MS Hollow SectionGate(Bottom Rail & Rod)
800000002248,GUN FOR PUF REVETTING
800000002249,Angle (65*65*8)
800000002250,Base Plate (300*300) 12 mm thk
800000002251,Fish Plate (150*200) 10 mm thk
800000002252,Chequred plate 8mm thk
800000002253,Auto Glass Loader
800000002254,Glass Loading Station
800000002255,EVA1 Rack
800000002256,EVA1 Auto Cutting & Layup Machine
800000002257,Bussing Station
800000002258,EVA/BS manual Layup Station
800000002259,EVA/BS Rack
800000002260,Horizontal Rotation
800000002261,NG Exit
800000002262,Mirror Inspection
800000002263,2nd Glass Loading Station
800000002264,2nd auto glass loading machine
800000002265,Manual Training Station
800000002266,Turnover Inspection
800000002267,Servo Framing Machine
800000002268,JB Fixing Station
800000002269,Lead Wire Soldering Station
800000002270,Stacker Unloader
800000002271,Curing Line
800000002272,Stacker Loader
800000002273,Backside Cleaning Station
800000002274,Sunny-side Cleaning Station
800000002275,Manual Miling Station
800000002276,Hi-pot Tester
800000002277,JB Glue Register
800000002278,Off-line frame dispensing machine
800000002279,"Rework Table, light & Soldering Socket"
800000002280,Ribbon Cutter
800000002281,35x35 MS Angle
800000002282,4mm thick 25x25mm Slotted L angle
800000002283,Silver Oxide Paint Asian/Burger Make
800000002284,50mm Width Paint brush
800000002285,Expans.Anchr:HILTI Model:HSTM10x110/30
800000002286,12 MM GI threaded rod(Full Thread)
800000002287,12mm GI nuts
800000002288,250mm Nylon Cable tie
800000002289,450 mm Nylon Cable tie
800000002290,2.5SqmmRedColorSinCuCable 300mtr bundle
800000002291,2.5SqmmYelColorSinCuCable 300mtr bundle
800000002292,2.5SqmmBlueColorSinCuCable 300mtr bundle
800000002293,2.5SqmmBlacColorSinCuCable 300mtr bundle
800000002294,ISA40×40×6
800000002295,Jhama Bats for Road Portion
800000002296,Elevator 1088kg Cap 1.5 m/s Speed&4Stops
800000002297,Conveyorisation
800000002299,63 MM Bit Nipple
800000002300,80x63mm reducer
800000002301,Equal Tee D25
800000002302,"Quick Drop D80, D25"
800000002303,"Quick Drop D80, D50"
800000002304,"Quick Drop D50, D20"
800000002305,"Quick Drop D 25,20"
800000002306,90° Elbow D25
800000002307,FLANGES=80 ANSI
800000002308,Dummy Plug for 25 mm hole
800000002309,Dummy Plug for 20 mm hole
800000002310,"Butterfly Valve Size:3"""
800000002311,50mm Ball Valves PF Series
800000002312,25 mm Ball Valves PF Series
800000002313,20mm Ball Valves PF Series
800000002314,50MM NIPPLE MALE SOCKET
800000002315,63/50 REDUCING SOCKET
800000002316,MS Sheet (14 gauge)
800000002317,3 mm thick grey colour ACP sheet
800000002318,Clear Silicon Sealent in 300ML Cartridge
800000002319,Anchor Fastener M20 x 170mm
800000002320,Anchor Fastener M20 x 260mm
800000002321,Anchor Fastener M16 x 260mm
800000002322,Anchor Fastener M12 x 145mm
800000002324,Electrical Operated Drain Valve
800000002325,Shri Hanuman ji moorti
800000002326,10 Watt bulkhead light bibwp 10W LED
800000002327,10x75 mm anchor hook
800000002328,6 mm steel rope
800000002329,GI Washer 6 mm
800000002330,Single face plate modular sq3.4x3.4 inch
800000002331,Molex Multimode 12 Port LC type Coupler
800000002332,Pigtel MM OM3
800000002333,HP Scan Jet G3110 Negative Photo
800000002334,M8 Nut
800000002335,6/16A 6 pin Power Socket
800000002336,IP End point  License
800000002337,MS Office std. 2016 SNGL OLP NL License
800000002338,TVSE CHAMP Keyboard(USB)
800000002339,Logitech mouse optical (USB)
800000002340,12mmthickclear toughened glass frameless
800000002341,Circular Clear toughened Glass 10mm
800000002342,SS railing fixed on Glass madeof 33mmdia
800000002343,Sika Floor 81 Epocem
800000002344,Sika Floor 161
800000002345,Sika Floor 315 RAL 7035
800000002346,"BALL VALVE SS BOTH SIDE FEMALE,1/2"""
800000002347,"SHORT PIECE SS BOTH SIDE MALE,1/2"""
800000002348,"SHORT PIECE SS BOTH SIDE MALE,3/4"""
800000002349,"DISTRIBUTOR 3WAY 3/4""IN & 1/2""OUT FEMALE"
800000002350,"DISTRIBUTOR 5WAY 1""IN & 1/2""OUT FEMALE"
800000002351,"STRAIGHT CONNECTOR,1/2"" x 12 mm"
800000002352,"STRAIGHT CONNECTOR,1/2"" x 16 mm"
800000002353,"Dummy Plug,1/2"""
800000002354,"SHORT PIECE SS BOTH SIDE MALE,1"""
800000002355,"Y Push Connector,12MM"
800000002356,Air Blow Gun-LSP-1/4-D-35528
800000002357,POLYURETHANE TUBE PUN-4X0.75 BL
800000002358,Polyurethane Tube PUN-6X1 BL
800000002359,Thread seal Tape(Teflon Tape)
800000002360,PVC Tape(RYB)
800000002361,CABLE TIE - 450 MM
800000002362,CABLE TIE-400 MM
800000002363,Push in Connector QS-4
800000002364,Push in Connector QS-6
800000002365,Push in Connector QS-6-4
800000002366,Push in Connector QS-8-6
800000002367,Push in Connector QS-8
800000002368,Push in Connector QS-10-8
800000002369,Push in Connector QS-10
800000002370,Push in Connector QS-12-10
800000002371,Push in Connector QS-12
800000002372,Push in Connector QS-16
800000002373,Push in Y Connector QSY-4
800000002374,Push in Y Connector QSY-6
800000002375,Push in Y Connector QSY-8
800000002376,Push in Y Connector QSY-12
800000002377,Push in Y Connector QSY-16
800000002378,Push in Y Connector QSY-6-4
800000002379,Push in Y Connector QSY-8-6
800000002380,Push in Y Connector QSY-10-8
800000002381,Push in Y Connector QSY-12-10
800000002382,Push-in fitting QS-R1/8-4
800000002383,Push-in fitting QS-R1/8-6
800000002384,Push-in fitting QS-R1/4-8
800000002385,Push-in fitting QS-R1/4-12
800000002386,Safety Cone
800000002387,Argox Barcode thermal printer 300 DPI
